Date,Platform,Campaign Name,Ad Set,Ad ID,Product Category,Target Audience,Impressions,Clicks,CTR,CPC,Conversions,Conversion Rate,Spend,ROAS,Revenue,CPM,CPA,Campaign Objective,Geography,Device,Creative Type,A/B Test,Notes
2024-04-01,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,12458,342,2.75%,0.91,14,4.09%,311.22,3.24,1008.35,24.98,22.23,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-01,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,23657,512,2.16%,0.72,19,3.71%,368.64,2.98,1098.55,15.58,19.40,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-01,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,18265,385,2.11%,0.82,11,2.86%,315.70,2.15,678.76,17.28,28.70,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-02,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,13245,368,2.78%,0.88,16,4.35%,323.84,3.52,1139.92,24.45,20.24,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-02,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,24125,524,2.17%,0.75,21,4.01%,393.00,3.02,1186.86,16.29,18.71,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-02,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,17892,401,2.24%,0.80,13,3.24%,320.80,2.32,744.26,17.93,24.68,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-03,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,11587,325,2.80%,0.92,12,3.69%,299.00,2.85,852.15,25.80,24.92,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-03,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,22568,498,2.21%,0.71,18,3.61%,353.58,2.94,1039.53,15.67,19.64,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-03,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,19452,412,2.12%,0.79,14,3.40%,325.48,2.45,797.43,16.73,23.25,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-04,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,12789,352,2.75%,0.89,15,4.26%,313.28,3.11,974.30,24.50,20.89,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-04,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,23125,518,2.24%,0.73,20,3.86%,378.14,3.05,1153.33,16.35,18.91,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-04,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,18956,405,2.14%,0.81,12,2.96%,328.05,2.25,738.11,17.31,27.34,Conversions,US,All,Image Carousel,No,Spring collection promotion
2024-04-05,Google Ads,Apparel Promotion,Clothing,GA-APP-001,Apparel,Fashion Shoppers,8547,245,2.87%,0.95,9,3.67%,232.75,2.78,646.05,27.23,25.86,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-05,Google Ads,Electronics Sale,Tech,GA-ELE-001,Electronics,Tech Enthusiasts,5824,132,2.27%,1.25,7,5.30%,165.00,4.21,694.65,28.33,23.57,Conversions,US,All,Single Image,No,Electronics focused campaign
2024-04-05,Facebook,Apparel Promotion,Clothing,FB-APP-001,Apparel,Fashion Shoppers,15742,356,2.26%,0.74,14,3.93%,263.44,3.12,822.50,16.73,18.82,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-05,Facebook,Electronics Sale,Tech,FB-ELE-001,Electronics,Tech Enthusiasts,8965,178,1.99%,0.92,9,5.06%,163.76,4.28,701.09,18.27,18.20,Conversions,US,All,Single Image,No,Electronics focused campaign
2024-04-05,Instagram,Apparel Promotion,Clothing,IG-APP-001,Apparel,Fashion Shoppers,12548,285,2.27%,0.78,10,3.51%,222.30,2.95,656.25,17.72,22.23,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-05,Instagram,Electronics Sale,Tech,IG-ELE-001,Electronics,Tech Enthusiasts,7645,155,2.03%,0.94,6,3.87%,145.70,3.25,473.52,19.06,24.28,Conversions,US,All,Single Image,No,Electronics focused campaign
2024-04-06,Google Ads,Apparel Promotion,Clothing,GA-APP-001,Apparel,Fashion Shoppers,8235,238,2.89%,0.97,8,3.36%,230.86,2.65,611.78,28.03,28.86,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-06,Google Ads,Electronics Sale,Tech,GA-ELE-001,Electronics,Tech Enthusiasts,5932,135,2.28%,1.28,8,5.93%,172.80,4.45,769.35,29.13,21.60,Conversions,US,All,Single Image,No,Electronics focused campaign
2024-04-06,Facebook,Apparel Promotion,Clothing,FB-APP-001,Apparel,Fashion Shoppers,15425,345,2.24%,0.76,13,3.77%,262.20,3.05,799.71,17.00,20.17,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-06,Facebook,Electronics Sale,Tech,FB-ELE-001,Electronics,Tech Enthusiasts,9254,185,2.00%,0.93,10,5.41%,172.05,4.35,748.42,18.59,17.21,Conversions,US,All,Single Image,No,Electronics focused campaign
2024-04-06,Instagram,Apparel Promotion,Clothing,IG-APP-001,Apparel,Fashion Shoppers,12356,278,2.25%,0.80,9,3.24%,222.40,2.82,627.17,18.00,24.71,Conversions,US,All,Single Image,No,Apparel focused campaign
2024-04-06,Instagram,Electronics Sale,Tech,IG-ELE-001,Electronics,Tech Enthusiasts,7852,158,2.01%,0.95,7,4.43%,150.10,3.65,547.87,19.12,21.44,Conversions,US,All,Single Image,No,Electronics focused campaign
2024-04-07,Google Ads,Apparel Promotion,Clothing,GA-APP-001,Apparel,Fashion Shoppers,6358,182,2.86%,0.94,7,3.85%,171.08,2.92,499.55,26.91,24.44,Conversions,US,All,Single Image,No,Weekend performance
2024-04-07,Google Ads,Electronics Sale,Tech,GA-ELE-001,Electronics,Tech Enthusiasts,4587,104,2.27%,1.26,6,5.77%,131.04,4.12,539.89,28.57,21.84,Conversions,US,All,Single Image,No,Weekend performance
2024-04-07,Facebook,Apparel Promotion,Clothing,FB-APP-001,Apparel,Fashion Shoppers,11254,252,2.24%,0.75,10,3.97%,189.00,3.15,595.35,16.79,18.90,Conversions,US,All,Single Image,No,Weekend performance
2024-04-07,Facebook,Electronics Sale,Tech,FB-ELE-001,Electronics,Tech Enthusiasts,6854,135,1.97%,0.94,7,5.19%,126.90,4.24,538.06,18.52,18.13,Conversions,US,All,Single Image,No,Weekend performance
2024-04-07,Instagram,Apparel Promotion,Clothing,IG-APP-001,Apparel,Fashion Shoppers,10254,232,2.26%,0.79,8,3.45%,183.28,2.85,522.35,17.87,22.91,Conversions,US,All,Single Image,No,Weekend performance
2024-04-07,Instagram,Electronics Sale,Tech,IG-ELE-001,Electronics,Tech Enthusiasts,6245,126,2.02%,0.93,5,3.97%,117.18,3.32,389.05,18.76,23.44,Conversions,US,All,Single Image,No,Weekend performance
2024-04-08,Google Ads,Home Decor Collection,Home,GA-HMD-001,Home Decor,Home Enthusiasts,7851,195,2.48%,0.91,8,4.10%,177.45,3.25,576.71,22.60,22.18,Conversions,US,All,Video,No,New Home Decor collection
2024-04-08,Google Ads,Beauty Essentials,Beauty,GA-BTY-001,Beauty,Beauty Shoppers,6254,158,2.53%,0.87,6,3.80%,137.46,2.95,405.51,21.98,22.91,Conversions,US,All,Video,No,Beauty products focus
2024-04-08,Facebook,Home Decor Collection,Home,FB-HMD-001,Home Decor,Home Enthusiasts,14254,312,2.19%,0.71,12,3.85%,221.52,3.15,697.79,15.54,18.46,Conversions,US,All,Video,No,New Home Decor collection
2024-04-08,Facebook,Beauty Essentials,Beauty,FB-BTY-001,Beauty,Beauty Shoppers,12856,285,2.22%,0.69,10,3.51%,196.65,2.85,560.45,15.30,19.67,Conversions,US,All,Video,No,Beauty products focus
2024-04-08,Instagram,Home Decor Collection,Home,IG-HMD-001,Home Decor,Home Enthusiasts,11245,248,2.21%,0.76,9,3.63%,188.48,2.92,550.36,16.76,20.94,Conversions,US,All,Video,No,New Home Decor collection
2024-04-08,Instagram,Beauty Essentials,Beauty,IG-BTY-001,Beauty,Beauty Shoppers,13568,315,2.32%,0.74,11,3.49%,233.10,2.75,641.03,17.18,21.19,Conversions,US,All,Video,No,Beauty products focus
2024-04-09,Google Ads,Home Decor Collection,Home,GA-HMD-001,Home Decor,Home Enthusiasts,8125,204,2.51%,0.89,9,4.41%,181.56,3.35,608.22,22.35,20.17,Conversions,US,All,Video,No,New Home Decor collection
2024-04-09,Google Ads,Beauty Essentials,Beauty,GA-BTY-001,Beauty,Beauty Shoppers,6521,165,2.53%,0.85,7,4.24%,140.25,3.05,427.76,21.51,20.04,Conversions,US,All,Video,No,Beauty products focus
2024-04-09,Facebook,Home Decor Collection,Home,FB-HMD-001,Home Decor,Home Enthusiasts,14854,326,2.19%,0.70,13,3.99%,228.20,3.25,741.65,15.36,17.55,Conversions,US,All,Video,No,New Home Decor collection
2024-04-09,Facebook,Beauty Essentials,Beauty,FB-BTY-001,Beauty,Beauty Shoppers,13254,292,2.20%,0.69,11,3.77%,201.48,2.95,594.37,15.20,18.32,Conversions,US,All,Video,No,Beauty products focus
2024-04-09,Instagram,Home Decor Collection,Home,IG-HMD-001,Home Decor,Home Enthusiasts,11568,255,2.20%,0.77,10,3.92%,196.35,3.05,598.87,16.97,19.64,Conversions,US,All,Video,No,New Home Decor collection
2024-04-09,Instagram,Beauty Essentials,Beauty,IG-BTY-001,Beauty,Beauty Shoppers,13984,325,2.32%,0.73,12,3.69%,237.25,2.85,676.16,16.97,19.77,Conversions,US,All,Video,No,Beauty products focus
2024-04-10,Google Ads,Accessories Showcase,Accessories,GA-ACC-001,Accessories,Fashion Shoppers,6587,172,2.61%,0.93,7,4.07%,159.96,3.15,503.87,24.28,22.85,Conversions,US,All,Image Collection,No,Accessories campaign
2024-04-10,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,5874,152,2.59%,0.98,5,3.29%,148.96,2.65,394.74,25.36,29.79,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-10,Facebook,Accessories Showcase,Accessories,FB-ACC-001,Accessories,Fashion Shoppers,11542,255,2.21%,0.72,9,3.53%,183.60,3.05,560.06,15.91,20.40,Conversions,US,All,Image Collection,No,Accessories campaign
2024-04-10,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,12543,278,2.22%,0.70,10,3.60%,194.60,2.85,554.59,15.51,19.46,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-10,Instagram,Accessories Showcase,Accessories,IG-ACC-001,Accessories,Fashion Shoppers,10254,228,2.22%,0.76,8,3.51%,173.28,2.95,511.46,16.90,21.66,Conversions,US,All,Image Collection,No,Accessories campaign
2024-04-10,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,11245,245,2.18%,0.78,8,3.27%,191.10,2.75,525.54,16.99,23.89,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-11,Google Ads,Accessories Showcase,Accessories,GA-ACC-001,Accessories,Fashion Shoppers,6821,178,2.61%,0.92,8,4.49%,163.76,3.25,532.22,24.01,20.47,Conversions,US,All,Image Collection,No,Accessories campaign
2024-04-11,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,6125,158,2.58%,0.97,6,3.80%,153.26,2.75,421.47,25.02,25.54,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-11,Facebook,Accessories Showcase,Accessories,FB-ACC-001,Accessories,Fashion Shoppers,11865,260,2.19%,0.73,10,3.85%,189.80,3.15,597.87,16.00,18.98,Conversions,US,All,Image Collection,No,Accessories campaign
2024-04-11,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,12854,282,2.19%,0.71,11,3.90%,200.22,2.95,590.65,15.58,18.20,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-11,Instagram,Accessories Showcase,Accessories,IG-ACC-001,Accessories,Fashion Shoppers,10521,234,2.22%,0.75,9,3.85%,175.50,3.05,535.28,16.68,19.50,Conversions,US,All,Image Collection,No,Accessories campaign
2024-04-11,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,11568,250,2.16%,0.79,9,3.60%,197.50,2.85,562.57,17.07,21.94,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-12,Google Ads,Weekend Sale,All Products,GA-WKD-001,All,General,8254,235,2.85%,0.95,11,4.68%,223.25,3.45,769.62,27.05,20.30,Conversions,US,All,Single Image,Yes,Weekend promotion A
2024-04-12,Google Ads,Weekend Sale,All Products,GA-WKD-002,All,General,8125,228,2.81%,0.98,10,4.39%,223.44,3.25,726.18,27.50,22.34,Conversions,US,All,Video,Yes,Weekend promotion B
2024-04-12,Facebook,Weekend Sale,All Products,FB-WKD-001,All,General,15874,358,2.25%,0.70,14,3.91%,250.60,3.15,789.39,15.79,17.90,Conversions,US,All,Single Image,Yes,Weekend promotion A
2024-04-12,Facebook,Weekend Sale,All Products,FB-WKD-002,All,General,15654,352,2.25%,0.71,13,3.69%,249.92,3.05,762.26,15.97,19.22,Conversions,US,All,Video,Yes,Weekend promotion B
2024-04-12,Instagram,Weekend Sale,All Products,IG-WKD-001,All,General,12543,282,2.25%,0.74,11,3.90%,208.68,3.15,657.35,16.64,18.97,Conversions,US,All,Single Image,Yes,Weekend promotion A
2024-04-12,Instagram,Weekend Sale,All Products,IG-WKD-002,All,General,12458,275,2.21%,0.76,10,3.64%,209.00,3.05,637.45,16.78,20.90,Conversions,US,All,Video,Yes,Weekend promotion B
2024-04-13,Google Ads,Weekend Sale,All Products,GA-WKD-001,All,General,9856,285,2.89%,0.92,13,4.56%,262.20,3.55,930.81,26.60,20.17,Conversions,US,All,Single Image,Yes,Weekend promotion A
2024-04-13,Google Ads,Weekend Sale,All Products,GA-WKD-002,All,General,9742,270,2.77%,0.96,12,4.44%,259.20,3.35,868.32,26.61,21.60,Conversions,US,All,Video,Yes,Weekend promotion B
2024-04-13,Facebook,Weekend Sale,All Products,FB-WKD-001,All,General,18542,422,2.28%,0.68,17,4.03%,287.08,3.25,933.00,15.48,16.89,Conversions,US,All,Single Image,Yes,Weekend promotion A
2024-04-13,Facebook,Weekend Sale,All Products,FB-WKD-002,All,General,18254,412,2.26%,0.70,16,3.88%,288.40,3.15,908.46,15.80,18.03,Conversions,US,All,Video,Yes,Weekend promotion B
2024-04-13,Instagram,Weekend Sale,All Products,IG-WKD-001,All,General,14854,335,2.26%,0.72,13,3.88%,241.20,3.25,784.25,16.24,18.55,Conversions,US,All,Single Image,Yes,Weekend promotion A
2024-04-13,Instagram,Weekend Sale,All Products,IG-WKD-002,All,General,14625,325,2.22%,0.75,12,3.69%,243.75,3.15,767.43,16.67,20.31,Conversions,US,All,Video,Yes,Weekend promotion B
2024-04-14,Google Ads,Weekend Sale,All Products,GA-WKD-001,All,General,9245,267,2.89%,0.93,12,4.49%,248.31,3.45,856.67,26.86,20.69,Conversions,US,All,Single Image,Yes,Weekend promotion A
2024-04-14,Google Ads,Weekend Sale,All Products,GA-WKD-002,All,General,9125,252,2.76%,0.98,11,4.37%,246.96,3.25,802.62,27.07,22.45,Conversions,US,All,Video,Yes,Weekend promotion B
2024-04-14,Facebook,Weekend Sale,All Products,FB-WKD-001,All,General,17254,396,2.29%,0.68,15,3.79%,269.28,3.15,848.23,15.61,17.95,Conversions,US,All,Single Image,Yes,Weekend promotion A
2024-04-14,Facebook,Weekend Sale,All Products,FB-WKD-002,All,General,16985,382,2.25%,0.71,14,3.66%,271.22,3.05,826.65,15.97,19.37,Conversions,US,All,Video,Yes,Weekend promotion B
2024-04-14,Instagram,Weekend Sale,All Products,IG-WKD-001,All,General,13865,313,2.26%,0.72,12,3.83%,225.36,3.15,709.88,16.25,18.78,Conversions,US,All,Single Image,Yes,Weekend promotion A
2024-04-14,Instagram,Weekend Sale,All Products,IG-WKD-002,All,General,13542,298,2.20%,0.76,11,3.69%,226.48,3.05,690.76,16.72,20.59,Conversions,US,All,Video,Yes,Weekend promotion B
2024-04-15,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,7852,220,2.80%,0.91,9,4.09%,200.20,3.15,630.63,25.50,22.24,Conversions,US,All,Image Carousel,No,Weekday performance
2024-04-15,Google Ads,Apparel Promotion,Clothing,GA-APP-001,Apparel,Fashion Shoppers,5842,165,2.82%,0.94,7,4.24%,155.10,3.25,504.08,26.55,22.16,Conversions,US,All,Single Image,No,Apparel focused campaign
